Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Part Number,Package,Alternate Part Number,Notes,Manufacturer,Field8,Field4,Field7,Field6,Field5
1,CAP CER 0.1UF 10V X5R 0402,C,C3 C4 C8 C10 C11 C12 C13 C14 C15 C20 C25 C31 C36,100nF,C_0402,13,~,CL05A104MP5NNNC,0402,GRM022R60J104ME15L,6.3V or greater,,,,,,
2,CAP CER 100PF 25V C0G/NP0 01005,C,C16 C17 C18 C19 C21 C22 C23 C24 C26 C27 C28 C29 C30 C32 C33 C34 C35 C37,100pF,C_0402,18,~,GRM0225C1E101GA02L,0402,500X07N101MV4T,,Murata,,,,,
3,CAP 1UF 6.3V X5R 0402,C,C1 C2 C5 C6 C7,1uF,C_0402,5,~,GRM153R60J105ME95D,0402,CL05A105MQ3LNNH,6.3V or greater,Murata,,,,,
4,CAP CER 4.7UF 10V X5R 0402,C,C9,4.7uF,C_0402,1,~,C1005X5R1A475M050BC,0402,0402ZD475MAT2A,6.3V or greater,TDK,,,,,
5,TVS DIODE 5.3V 14V 2X3DFN,TVS-2-pin,D1 D2 D5 D6 D7 D8,ESD8472MUT5G,ONSEMI_0201_DSN2_153AF,6,http://www.onsemi.com/pub/Collateral/ESD8472-D.PDF,ESD8472MUT5G,0201 (0603 Metric),,,ON Semiconductor,,,,,
6,TVS DIODE 12V 35V SOD523,1.5KExxA,D3 D4,"PESD12VS1UB,115",D_SOD-523,2,https://assets.nexperia.com/documents/data-sheet/PESDXS1UB_SERIES.pdf,"PESD12VS1UB,115",SOD-523,,,Nexperia,,,,,
7,LED GREEN CLEAR SMD,LED,D9,SML-LX0402SUGC-TR,LED_0402,1,https://www.lumex.com/content/files/ProductAttachment/SML-LX0402SUGC-TR.pdf,SML-LX0402SUGC-TR,0402,,,Lumex,,,,,
8,FILTER SAW 915MHZ 6SMD,SAW_3X3mm,FL2,SF2098E,SAW_3X3mm,1,https://wireless.murata.com/RFM/data/sf2098e.pdf,SF2098E,SAW 3x3mm,,,Murata,,,,,
9,FILTER SAW 1.615GHZ 6SMD,SAW_3X3mm,FL3,SF2250E,SAW_3X3mm,1,https://wireless.murata.com/RFM/data/sf2250e.pdf,SF2250E,SAW 3x3mm,,,Murata,,,,,
10,FILTER SAW 1090MHz,SAW_3X3mm,FL1,TA1090EC,SAW_3.8X3.8MM,1,https://www.rfmw.com/datasheets/tai-saw/TA1090EC%20_Rev.3.0_.pdf,TA1090EC,SAW 3.8x3.8mm,,,TAI-SAW,,,,,
11,"Connector Header Through Hole 6 position 0.100"" (2.54mm)",Conn_02x03_Odd_Even,J2,Conn_02x03_Odd_Even,FRAMATOME_67997-206HLF,1,https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf,67997-206HLF,,M20-9980345,,Amphenol,,,,,
12,"SMA Connector Jack, Female Socket 50 Ohm Board Edge, End Launch Solder",SMA-J-P-H-ST-EM1,J3 J4 J5 J6,SMA-J-P-H-ST-EM1,SMA-J-P-H-ST-EM1,4,Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray,SMA-J-P-H-ST-EM1,,,,Samtec,Samtec,None,2.95 USD,Good,SMA-J-P-H-ST-EM1
13,"USB - mini B USB 2.0 OTG Receptacle Connector 5 Position Through Hole, Right Angle",USB_B_Mini,J1,USB_B_Mini,USB_Mini-B_Molex-054819-0519,1,https://www.molex.com/pdm_docs/sd/548190519_sd.pdf,0548190519,,,,Molex,,,,,
14,FIXED IND 150NH 300MA 1.4 OHM,L,L1 L2,150nH,L_0603,2,~,L-14CR15JV4T,0603,HK1608R15J-T,,Johanson Technology,,,,,
15,RES SMD 0 OHM JUMPER 1/10W 0402,R,R3 R5,0,R_0402,2,~,ERJ-2GE0R00X,0402,RC1005J000CS,any 0402 jumper,Panasonic,,,,,
16,RES SMD 1K OHM 1% 1/10W 0402,R,R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19,100,R_0402,14,~,ERJ-2RKF1001X,0402,RT0402FRE071KL,,Panasonic,,,,,
17,RES SMD 10K OHM 1% 1/10W 0402,R,R4,10K,R_0402,1,~,ERJ-2RKF1002X,0402,RMCF0402FT10K0,,Panasonic,,,,,
18,RES SMD 1K OHM 1% 1/10W 0402,R,R1 R2 R20,1K,R_0402,3,~,ERJ-2RKF1001X,0402,RCA04021K00FKEDHP,,Panasonic,,,,,
19,IC MCU 8BIT 32KB FLASH 32VQFN,ATmega328P-MU,U4,ATmega328P-MU,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf,ATMEGA328P-MUR,32-VFQFN,,,Microchip Technology,,,,,
20,IC BRIDGE USB TO UART 24QFN,CP2102N-A01-GQFN24,U3,CP2102N-A01-GQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,http://www.silabs.com/support%20documents/technicaldocs/cp2102n-datasheet.pdf,CP2102N-A01-GQFN24,24-VFQFN,,,Silicon Labs,,,,,
21,IC SW SPDT 2.0-6GHZ GAAS 6MLPD,SKY13351-378LF,U6 U8 U9 U12,SKY13351-378LF,SKY_QFN6_1x1mm,4,http://www.skyworksinc.com/uploads/documents/SKY13351_378LF_201132I.pdf,SKY13351-378LF,6MLPD,,,Skyworks,,,,,
22,RF Switch IC SP4T 3GHz 50 Ohm 14-QFN (2x2),SKY13414-485LF,U5 U11,SKY13414-485LF,QFN45P200X200X55-15N,2,http://www.skyworksinc.com/uploads/documents/SKY13414_485LF_201689J.pdf,SKY13414-485LF,14-QFN,,,Skyworks,,,,,
23,RF Amplifier .05-4GHz SSG 12.2dB NF .65dB GaAs,SPF5122Z,U7 U10,SPF5122Z,DFN-8,2,https://www.mouser.com/datasheet/2/412/pf5122z_data_sheet-781947.pdf,SPF5122Z,DFN8,,,Qorvo,,,,,
24,IC REG LINEAR 3.3V 250MA SOT23-5,ADP7142AUZJ,U1 U2,TPS73233DBVR,TSOT-23-5,2,http://www.ti.com/lit/ds/symlink/tps732.pdf,TPS73233DBVR,SOT-23-5,ADP7142AUJZ-3.3-R7,,Texas Instruments,,,,,





Component Groups:,24
Component Count:,89
Fitted Components:,89
Number of PCBs:,1
Total components:,89
Schematic Version:,A
Schematic Date:,2018-08-18
BoM Date:,Mon 20 Aug 2018 05:22:57 AM CDT
Schematic Source:,/home/bsmith/kicad/projects/mb-lna/mb-lna.sch
KiCad Version:,Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1
