Component,Description,References,Value,Quantity Per PCB,Part Number,Notes,Manufacturer
1,CAP CER 0.1UF 10V X5R 0402,C3 C4 C8 C10 C11 C13 C14 C15 C18 C32 C35,100nF,11,CL05A104MP5NNNC,6.3V or greater,Samsung
2,CAP CER 100PF 25V C0G/NP0 01005,C12 C16 C17 C19 C20 C22 C23 C26 C28 C29 C34 C37,100pF,12,GRM0225C1E101GA02L,,Murata
3,CAP CER 1PF 50V C0G/NP0 0402,C30 C36,1pF,2,GJM1555C1H1R0BB01D,,Murata
4,CAP 1UF 6.3V X5R 0402,C1 C2 C5 C6 C7 C24,1uF,6,GRM153R60J105ME95D,6.3V or greater,Murata
5,CAP CER 30PF 50V C0G/NP0 0402,C25 C31,30pF,2,GJM1555C1H300JB01D,,Murata
6,CAP CER 4.7UF 10V X5R 0402,C9,4.7uF,1,C1005X5R1A475M050BC,6.3V or greater,TDK
7,Diode Schottky 40V 750mA (DC) Surface Mount PG-SOD323-2,D10 D11 D12,BAT165,3,BAT165E6327HTSA1,,Infineon
8,TVS DIODE 5.3V 14V 2X3DFN,D1 D2 D6 D7 D8 D9,ESD8472MUT5G,6,ESD8472MUT5G,,ON Semiconductor
9,TVS DIODE 12V 35V SOD523,D3 D4,"PESD12VS1UB,115",2,"PESD12VS1UB,115",,Nexperia
10,LED GREEN CLEAR SMD,D5 D13 D14 D15 D16,SML-LX0402SUGC-TR,5,SML-LX0402SUGC-TR,,Lumex
11,FILTER SAW 915MHZ 6SMD,FL1,SF2098E,1,SF2098E,,Murata
12,FILTER SAW FC=1615MHZ BW=20MHz 6SMD,FL2,SF2250E,1,SF2250E,,Murata
13,FILTER SAW FC=1542.5MHZ BW=35MHz,FL3,SF2275E,1,SF2275E,,Murata
14,"Connector Header Through Hole 6 position 0.100"" (2.54mm)",J6,"2x3 0.1"" HEADER",1,67997-206HLF,,Amphenol
15,CONN HEADER 2POS VERT T/H,J9,CONN_01X02,1,77311-118-02LF,,Amphenol
16,"SMA Connector Jack, Female Socket 50 Ohm Board Edge, End Launch Solder",J4 J5 J7 J8,SMA-J-P-H-ST-EM1,4,SMA-J-P-H-ST-EM1,,Samtec
17,"USB - mini B USB 2.0 OTG Receptacle Connector 5 Position Through Hole, Right Angle",J1,USB_B_Mini,1,0548190519,,Molex
18,1µH Unshielded Wirewound Inductor 370mA 1.75 Ohm Max 1008 (2520 Metric),L5,1uH,1,LQW2UAS1R0J00L,,Murata
19,FIXED IND 22NH 350MA 420 MOHM,L1 L3,22nH,2,LQG15HS22NJ02D,,Murata
20,FIXED IND 39NH 300MA 650 MOHM,L2 L4,39nH,2,LQG15HS39NJ02D,,Murata
21,FERRITE BEAD 120 OHM 0402 1LN,L6,BLM15AG121SN1D,1,BLM15AG121SN1D,,Murata
22,RF Sheild,M1 M2,DNP,2,2118706-2,,TE Connectivity
23,RES SMD 0 OHM JUMPER 1/10W 0402,R3 R10,0,2,ERJ-2GE0R00X,any 0402 jumper,Panasonic
24,RES SMD 1.4K OHM 1% 1/10W 0402,R12 R17,1.4K,2,ERJ-2RKF1401X,,Panasonic
25,RES SMD 1K OHM 1% 1/10W 0402,R14 R15 R16 R21 R22 R25,100,6,ERJ-2RKF1001X,,Panasonic
26,RES SMD 10K OHM 1% 1/10W 0402,R4 R29,10K,2,ERJ-2RKF1002X,,Panasonic
27,RES SMD 1K OHM 1% 1/10W 0402,R1 R2 R5 R19 R20 R23 R24,1K,7,ERJ-2RKF1001X,,Panasonic
28,RES SMD 3.9K OHM 1% 1/10W 0402,R6 R7 R8 R9,3.9K,4,RC0402FR-073K9L,,Panasonic
29,RES SMD 10K OHM 1% 1/10W 0402,R11,DNP,1,ERJ-2RKF1002X,,Panasonic
30,Tactile Switch SPST-NO Top Actuated Surface Mount,SW1,TL3305AF160QG,1,TL3305AF160QG,,E-Switch
31,IC MCU 8BIT 32KB FLASH 32VQFN,U5,ATmega328P-MU,1,ATMEGA328P-MUR,,Microchip Technology
32,IC EEPROM 32K I2C 1MHZ 8SOIC,U2,CAT24C32,1,CAT24C32WI-GT3,,ON Semiconductor
33,IC BRIDGE USB TO UART 24QFN,U4,CP2102N-A01-GQFN24,1,CP2102N-A01-GQFN24,,Silicon Labs
34,RF Amplifier .1-3.8GHz GaAs Gain 16dB,U7 U8,GRF4142,2,GRF4142,,Guerilla RF
35,RF Switch IC SP4T 3GHz 50 Ohm 14-QFN (2x2),U6 U12,SKY13414-485LF,2,SKY13414-485LF,,Skyworks
36,IC REG LINEAR 3.3V 250MA SOT23-5,U1 U3,TPS73233DBVR,2,TPS73233DBVR,,Texas Instruments





Component Groups:,38
Component Count:,105
Fitted Components:,102
Number of PCBs:,1
Total components:,102
Schematic Version:,A
Schematic Date:,
BoM Date:,Sat 20 Oct 2018 08:08:20 AM CDT
Schematic Source:,/home/bsmith/kicad/projects/mb-lna/pi-hat-lna.sch
KiCad Version:,Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1
